date,thck
2025-01-11,31.3599993
2025-01-12,13.1599997
2025-01-13,39.5099991
2025-01-14,0.0499999989
2025-01-15,6.83999985
2025-01-16,2.25999995
2025-01-17,4.5699999
2025-01-18,5.28999988
2025-01-19,1.12999997
2025-01-20,6.19999986
2025-01-21,3.29999993
2025-01-22,27.3599994
2025-01-23,37.5599992
2025-01-24,18.5299996
2025-01-25,20.9299995
2025-01-26,14.8499997
2025-01-27,29.5599993
2025-01-28,2.31999995
2025-01-29,0.569999987
2025-01-30,-9999
2025-01-31,37.7699992
2025-02-01,6.69999985
2025-02-02,1.07999998
2025-02-03,11.1599998
2025-02-04,-9999
2025-02-05,40.2999991
2025-02-06,31.7299993
2025-02-07,31.3599993
2025-02-08,7.56999983
2025-02-09,34.8799992
2025-02-10,42.0999991
2025-02-11,-9999
2025-02-12,49.8999989
2025-02-13,32.6399993
2025-02-14,2.08999995
2025-02-15,0.89999998
2025-02-16,30.5299993
2025-02-17,12.8999997
2025-02-18,1.69999996
2025-02-19,15.7399996
2025-02-20,33.8799992
2025-02-21,10.3999998
2025-02-22,27.3399994
2025-02-23,15.6299997
2025-02-24,15.0199997
2025-02-25,4.6199999
2025-02-26,4.09999991
2025-02-27,19.0399996
2025-02-28,0.999999978
2025-03-01,34.0699992
2025-03-02,4.6099999
2025-03-03,-9999
2025-03-04,1.27999997
2025-03-05,18.7599996
2025-03-06,16.1799996
2025-03-07,43.949999
2025-03-08,-9999
2025-03-09,3.47999992
2025-03-10,13.7999997
2025-03-11,21.7999995
2025-03-12,-9999
2025-03-13,1.32999997
2025-03-14,-9999
2025-03-15,-9999
2025-03-16,-9999
2025-03-17,1.53999997
2025-03-18,3.62999992
2025-03-19,23.9399995
2025-03-20,65.7999985
