date,ctp-night
2025-02-19,710.000011
2025-02-20,704.900011
2025-02-21,828.500012
2025-02-22,718.700011
2025-02-23,716.700011
2025-02-24,772.100012
2025-02-25,816.600012
2025-02-26,840.100013
2025-02-27,815.500012
2025-02-28,-9999
2025-03-01,875.300013
2025-03-02,408.200006
2025-03-03,447.100007
2025-03-04,414.400006
2025-03-05,779.100012
2025-03-06,346.600005
2025-03-07,683.00001
2025-03-08,883.100013
2025-03-09,615.900009
2025-03-10,911.900014
2025-03-11,-9999
2025-03-12,743.300011
2025-03-13,545.400008
2025-03-14,980.800015
2025-03-15,774.600012
2025-03-16,827.400012
2025-03-17,297.100004
2025-03-18,812.400012
2025-03-19,646.80001
2025-03-20,611.000009
